Question,Options,Predicted Answer,Correct Answer,Confidence Level,Explanation
Have not had a moment to myself at home for days...hubby is always there  Trying to staff off when he is around to keep the peace,"A. Positive
B. Negative",B,B,95,"The sentence starts with ""Have not had a moment to myself at home for days,"" which indicates a negative sentiment as the speaker feels lacking personal time and space The second part, ""hubby is always there,"" strengthens this negative sentiment as it suggests inconvenience and a possible invasion of privacy Lastly, ""Trying to staff off when he is around to keep the peace,"" indicates the speaker's efforts to maintain harmony but also implies a strained atmosphere Therefore, based on the analysis, the overall sentiment of the sentence is negative

Answer and Confidence (0-100): B, 95%"
@playspymaster I want an invite! Please I have mucho time to do this!!!,"A. Positive
B. Negative",A,A,95,"The sentence shows the user expressing a desire to be invited to something The use of the exclamation marks indicates excitement or enthusiasm The phrase ""I have mucho time to do this!!!"" implies that the user is eager and looking forward to the event in question The sentiment is not negative as there's no expression of sadness, anger, or frustration 

Answer and Confidence (0-100): A, 95%"
"Busy working , i wish i had time to be here","A. Positive
B. Negative",B,B,90,"The sentence expresses regret for not having enough time due to work This sentiment can be seen as generally negative as there is a desire for more free time It does not indicate joy, satisfaction, or a positive emotional status

Answer and Confidence (0-100): B, 90%"
http://twitpic.com/68mye - Hanging Out  Look How Long Colbys Legs Look lol,"A. Positive
B. Negative",A,A,90,"The sentence is a comment about a picture on Twitter of someone named Colby ""hanging out"" with notably long looking legs, followed by ""lol"", an abbreviation for laugh out loud This is not a deeply emotional or opinionated statement but rather a casual and humorous observation about the subject's appearance The use of ""lol"" and the light-hearted tone of the sentence suggest a jovial or positive sentiment; there are no signs of negativity or criticism present

Answer and Confidence (0-100): A, 90%"
Why is Love so complicated?,"A. Positive
B. Negative",B,B,90,"The sentence ""Why is Love so complicated?"" is portraying love as a difficult or complex entity, which typically carries a negative connotation There is a tone of frustration, suggesting that the speaker is experiencing challenges with love 

Answer and Confidence (0-100): B, 90%"
I'm guilty of that too. Feel bad about that,"A. Positive
B. Negative",B,B,90,"The sentence ""I'm guilty of that too Feel bad about that"" indicates that the speaker acknowledges a certain wrongdoing or mistake and expresses regret or sadness about it The overall sentiment of the sentence is negative as the person is expressing guilt and feeling bad

Answer and Confidence (0-100): B, 90%"
Eurovision is no longer fun without the political controversy it used to have  Uni is over this Friday... :O,"A. Positive
B. Negative",B,B,70,"The sentiment analysis of this sentence involves two parts First, ""Eurovision is no longer fun without the political controversy it used to have"" seems to express dissatisfaction or disappointment, indicating a negative sentiment since the speaker misses the political controversy in Eurovision This suggests that they found the previous state of Eurovision more enjoyable, making its present form less appealing Second, ""Uni is over this Friday :O"" seems to express surprise, shock, or excitement The tone here is more ambiguous and could be positive or negative depending on personal feelings towards the ending of Uni However, since no specific positive or negative emotion is expressed, I'll consider this neutral but it adds uncertainty to the overall sentiment analysis

Answer and Confidence (0-100): B, 70%"
@vulpesrawr I'm gonna miss my AZN-outings in Faytown.,"A. Positive
B. Negative",B,B,75,"Analyzing this sentence, the user is expressing some form of sadness or negative emotion about not being able to participate in their AZN-outings in Faytown anymore  They're signaling a loss by using ""miss,"" which usually implies a feeling of nostalgia or longing However, it's important to note that negative sentiments aren't always negative experiences They can involve complex emotions like nostalgia or bitterness, which can be more neutral So, while the sentiment here isn't necessarily positive (happy, excited, pleased), it's not necessarily harshly negative (angry, sad, upset) either 

Answer and Confidence (0-100): B, 75%"
"@ddlovato hi demi, i love your songs..","A. Positive
B. Negative",A,A,99,"The sentence given is [@ddlovato hi demi, i love your songs] This sentence is a communication targeted towards a popular singer named Demi Lovato (@ddlovato is her handle on some social media platforms) The user expresses their admiration for Demi's music by saying ""i love your songs"" The sentiment expressed is a positive one as the user openly demonstrates their love for the singer's songs 

Answer and Confidence (0-100): A, 99%"
I need to move to a mainstream area,"A. Positive
B. Negative",B,B,50,"The sentence provided: ""I need to move to a mainstream area"" doesn't have an inherently positive or negative sentiment as it's a neutral statement The author expresses a need or desire but does not share any positive or negative emotion regarding the need

Answer and Confidence (0-100): B, 50%"
@mcarvin I'm gonna keep that in mind whenever @chriscavallucci &amp; I will need a new car,"A. Positive
B. Negative",A,A,90,"The sentence is expressing future consideration (""I'm gonna keep that in mind"") for when the user and another individual are in need of a new car It reveals a cooperative and open mindset about the future There is no negativity or derogatory sentiment evident from this sentence It informs the person mentioned (@mcarvin) of their impact on the decisions of the user of the other

Answer and Confidence (0-100): A, 90%"
@ian_si @ambermatson....I think she would prefer Mrs Bond,"A. Positive
B. Negative",Neutral,A,90,"The sentence starts with a mention of two twitter handles, presumably a conversation happening on social media The latter part of the sentence, ""I think she would prefer Mrs Bond"" seems to be responding to a prior comment or conversation not provided here It states an opinion without any explicit positivity or negativity The context could potentially give more sentiment information For example, if the referred individual likes or dislikes Mrs Bond However, based on this sentence alone, it appears neutral 

Answer and Confidence (0-100): Neutral, 90%"
@The_Kimmes How could I forget  A party in VA Beach sounds sorts of amazing. I'm there.,"A. Positive
B. Negative",A,A,90,"The sentence starts with a mention of a user's name, which doesn't add significant information about the sentiment Moving ahead, the statement ""How could I forget A party in VA Beach sounds sorts of amazing"" suggests an excellent memory associated with a party, contributing to a positive sentiment The affirming statement ""I'm there"" by the sender also adds positivity as it expressed excitement and willingness to join 

Answer and Confidence (0-100): A, 90%"
Yeah! Only three more minutes till wada! I already want to go home. I'm in a high risk of contracting swine flu......  at least i get  ...,"A. Positive
B. Negative",B,B,70,"The sentence expresses several sentiments which needs to be analyzed carefully The beginning, ""Yeah! Only three more minutes till wada!"" expresses a positive sentiment, indicating excitement and anticipation However, following this, ""I already want to go home"" introduces a negative sentiment suggesting dissatisfaction or discomfort This negative sentiment continues in, ""I'm in high risk of contracting swine flu"" which introduces worry or fear Lastly, ""at least I get "" seems to end on a more positive note, indicating that there is some consoling or positive aspect, but without the end of the sentence, the sentiment of this part is ambiguous

Answer and Confidence (0-100): B, 70% 

Sentence: [Yeah! Only three more minutes till wada! I already want to go home I'm in a high risk of contracting swine flu  at least i get  ]"
"Alright peeps, I'm going offline now and to play with my ds   I'm sooo obsessed with it! I'll be missing it when I start summer school","A. Positive
B. Negative",A,B,95,"The user expresses excitement about going offline to enjoy their handheld gaming device (ds) referring it as an obsession, indicating enthusiasm or positive sentiment about the activity The phrase ""I'll be missing it"" shows that they anticipate a longing for it when they start summer school, indicating they enjoy the activity but will be unable to do it as much The user does not express any negative feelings or sentiment in this sentence 

Answer and Confidence (0-100): A, 95%"
@TheKellanLutz i would choose twitter over pilates also,"A. Positive
B. Negative",A,A,60,"The user has tagged a Twitter profile '@TheKellanLutz' The user is expressing his preference to use Twitter over doing Pilates, which is a physical fitness system The sentiment expressed here is neutral, as the user is simply expressing a preference; it is neither positive, nor derogatory in nature However, considering the given option we need to choose from - A (positive) and B (negative), the sentiment can be perceived as slightly positive because this sentence implies that he/she prefers Twitter, which could be interpreted as an endorsement for Twitter

Answer and Confidence (0-100): A, 60%"
about to set off for school,"A. Positive
B. Negative",A,B,50,"The sentence appears to be a neutral statement about an action the speaker is about to take There are no explicit positive or negative sentiments expressed about the action However, going to school is generally not perceived negatively, except if the context says otherwise, but it's not explicitly positive either 

Answer and Confidence (0-100): A, 50%"
@ddlovato you can have all my different coloured cookies if you reply  PROMISEEE!,"A. Positive
B. Negative",A,A,90,"Analyzing the sentence, it seems to be directed towards a user named @ddlovato The speaker is articulating a condition that they will give their different colored cookies to @ddlovato if they receive a reply The tone is positive and hopeful, as the user is using an enticement (the cookies) to get a response from @ddlovato The word ""PROMISEEE"" also demonstrates enthusiasm and positivity There is no negativity or adverse language in the sentence

Answer and Confidence (0-100): A, 90%"
Going for pizza with the fam. Miss my dog,"A. Positive
B. Negative",A,B,50,"The sentence 'Going for pizza with the fam Miss my dog' indicates a mix of sentiments The first part of the sentence refers to going out for pizza with family, typically a joyful and bonding activity, indicating a positive sentiment But in the second part of the sentence, the speaker expresses missing their dog Missing something usually indicates feelings of longing or sadness, which are negative sentiments It is a mix of both positive (going out for food with the family) and negative feelings (missing the dog)

Answer and Confidence (0-100): A, 50%
Answer and Confidence (0-100): B, 50%"
David Micah and Jr. get up way to early on Saturday.  Waiting on Sissy to wake up so we can make Cinniamon Rolls. hope she takes a minute,"A. Positive
B. Negative",A,A,75,"The sentence revolves around the user's experience of waking up early with David Micah and Jr on a Saturday, and waiting for 'Sissy' to wake up to make Cinnamon Rolls The term 'way too early' does convey a minor inconvenience, but the overall context hints at a shared activity (making Cinnamon Rolls) that is most likely a family tradition or a joyful task The mention of 'hope she takes a minute' might suggest a little impatience, but it's also enveloped in the anticipation of a pleasing event Hence, the sentiment leans towards being positive rather than negative

Answer and Confidence (0-100): A, 75%"
"@samitbasu sadly,i cant even hold a brush straight","A. Positive
B. Negative",B,B,90,"The sentence is stated by a user with a handle ""@samitbasu"" The user is communicating regret or disappointment by saying ""sadly,"" which is a negative sentiment word Further, they state that they cannot even hold a brush straight, indicating a difficulty or incapability, which contributes to a negative sentiment as well

Answer and Confidence (0-100): B, 90%"
supposed to study orthodontics. hmmm,"A. Positive
B. Negative",Neither A nor B,B,90,"This sentence refers to someone who is expected to study orthodontics but the usage of ""hmmm"" might indicate confusion, hesitation or uncertainty However, there are no strong negative or positive emotional cues in the sentence The sentiment is largely neutral 

Answer and Confidence (0-100): Neither A nor B, 90% 

Sentence: [supposed to study orthodontics hmmm]"
"nearly finished c4, and i'm out tomorrow","A. Positive
B. Negative",A,B,70,"The sentence has two parts The first part 'nearly finished c4' is a little unclear, but it seems the user is close to completing something, which often brings a sense of accomplishment and therefore positive sentiment The second part 'and I'm out tomorrow' suggests that the user is looking forward to doing something outside the next day, which also indicates a positive sentiment Thus, both parts of the sentence convey a positive sentiment

Answer and Confidence (0-100): A, 70%"
Feels like i'm catching a cold..,"A. Positive
B. Negative",B,B,95,"The sentence, ""Feels like I'm catching a cold"" is expressing a negative situation or outcome based on the individual's present state of health The idea of 'catching a cold' usually signifies discomfort, sickness, inconvenience, which are generally associated with negative sentiment

Answer and Confidence (0-100): B, 95%"
BEYONCE was amazin!!!! super talented n super hot,"A. Positive
B. Negative",A,A,100,"The sentence provided expresses positive feelings about the performer Beyonce and describes her as 'amazing', 'super talented', and 'super hot' This implies admiration and positive sentiment towards Beyonce 

Answer and Confidence (0-100): A, 100%"
"@pinot ow, nyebrang ke bahrain juga dapet toh  mantaff","A. Positive
B. Negative",A,A,90,"The sentence seems Indonesian language ""@pinot ow, nyebrang ke bahrain juga dapet toh mantaff"" It does not consists well known negative or positive words but has a colloquial and informal tone The word ""mantaff"" in Indonesian slang means good, excellent, or amazing, which implies positivity The sentence in English roughly translates to: ""even crossing to Bahrain, you get it huh, great"" This shows a positive sentiment because it emphasizes a positive accomplishment (ie, managing to travel to Bahrain and achieving something)

Answer and Confidence (0-100): A, 90%"
"is annoyed to learn that someone else is on Twitter with my name  no worries they aren't a fake me,  its just they have my name!","A. Positive
B. Negative",B,B,85,"The user mentions being annoyed, interpreting that they are displeased that someone else on Twitter has their same name Though they clarify that they're not worried about being impersonated, the primary sentiment expressed is annoyance or frustration, which has a negative connotation

Answer and Confidence (0-100): B, 85%"
@robwilkerson I hate seeing you sad,"A. Positive
B. Negative",B,B,80,"The sentence is addressed to a user ""@robwilkerson"" It talks about the sender's feelings towards seeing the receiver being sad The use of the word ""hate"" suggests a strong negative emotion Therefore, the content of the sentence is negative 

Answer and Confidence (0-100): B, 80%"
dont mind the boo. Kris Allen did Great!,"A. Positive
B. Negative",A,A,90,"The sentence begins with the phrase ""don't mind the boo,"" which seems to refer to someone disregarding or ignoring negative feedback or sentiment, which feels slightly negative However, the sentence progresses to ""Kris Allen did Great!"" which is explicitly positive The use of 'Great' with a capital 'G' emphasizes a strong positive sentiment The positive aspect of the sentence counteracts the earlier slightly negative sentiment, making the overall sentiment of the sentence positive 

Answer and Confidence (0-100): A, 90%"
@gssq Guess I was too late.,"A. Positive
B. Negative",B,B,80,"The sentence '@gssq Guess I was too late' is coming from a user who is communicating with '@gssq' The user expresses regret about being 'too late' This sentiment suggests disappointment or some form of negative sentiment The phrase 'too late' usually indicates a missed opportunity or misfortune, which regularly associate with negative sentiments

Answer and Confidence (0-100): B, 80%"
@FunkShoi You can save it for next time!!   ? http://blip.fm/~5z2sv,"A. Positive
B. Negative",A,A,65,"The sentence '@FunkShoi You can save it for next time!! ? http://blipfm/~5z2sv' is directed at a user named FunShoi and appears to be offering advice or a suggestion that something (unspecified in the text) can be saved for next time The use of double exclamation marks may signal excitement or enthusiasm While the text does not contain explicit positivity or negativity, it generally suggests a helpful or encouraging tone

Answer and Confidence (0-100): A, 65%"
"@Sanyu Aww!  You don't have to do that for me, San-san. ;u; You're so nice. XD -hugs-","A. Positive
B. Negative",A,A,95,"The sentence expresses gratitude upon receiving kindness, with several indications implying positive sentiment Symbols such as ""Aww!"", "";u;"", ""XD"", and ""-hugs-"" all indicate positive emotions Even the phrase ""You're so nice"" also conveys a positive message The particles ""San-san"" which seems to be a nickname also conveys familiarity and generally a positive vibe The part ""You don't have to do that for me"" might be seen as neutral or even sway towards negative, but in the whole context, it actually emphasizes the appreciation of the unexpected extra effort Thus, this sentence does not hold negative sentiment

Answer and Confidence (0-100): A, 95%"
"finally home...MAP, cleaning and then off to Benihana to the twins bday dinner...soooo fun","A. Positive
B. Negative",A,B,95,"The given sentence, 'finally homeMAP, cleaning and then off to Benihana to the twins bday dinnersoooo fun' first states the person is home, followed by mentioning MAP- possibly a task or an object, then cleaning, which might be a chore But it follows with the individual going off to Benihana, a restaurant chain known for its teppanyaki-style cooking, for the twins' birthday dinner and seems to express anticipation and excitement towards the event with 'soooo fun' The usage of 'soooo fun' reveals a high level of enthusiasm, suggesting a positive sentiment towards their plans

Answer and Confidence (0-100): A, 95%"
Partly working from home. Started already at seven,"A. Positive
B. Negative",B,A,50,"The sentence has two parts The first part, 'Partly working from home,' seems neutral as it indicates a fact about a work situation that can have varied interpretations The second part, 'Started already at seven,' implies that the user began working early, which might be negative for some people (if they feel it's too early), or positive (if they enjoy starting their work early) However, without additional context, it's tough to discern the user's feelings or sentiment toward this situation 

Answer and Confidence (0-100): B, 50%"
@thecatempire Only two shows in the US?  Maryland wants you!!,"A. Positive
B. Negative",A,B,70,"The sentence is a tweet directed at a user presumably named ""thecatempire"" The user expresses disappointment that there are only two shows to be held in the US, indicated by the rhetorical question However, the sentence ends with an enthusiastic assertion that Maryland wants ""thecatempire"" This suggests  excitement and desire for the presumed performer(s) to come to Maryland Therefore, the sentiment is both one of slight disappointment (due to the limited number of shows in the US) and positive desire or anticipation (wanting the group to perform in Maryland) However, the overall sentiment can be considered more positive since the user is expressing a desire for ""thecatempire"" to come to their area and shows enthusiasm

Answer and Confidence (0-100): A, 70%"
I am enjoying my last days in DC,"A. Positive
B. Negative",A,B,90,"The sentence ""I am enjoying my last days in DC"" includes the verb ""enjoying"" which suggests a positive sentiment as the speaker is having a good time The sentiment does not change even though the speaker is explaining about their ""last days in DC"", as the main verb that gives the sentiment context is ""enjoying"", which is positive

Answer and Confidence (0-100): A, 90%"
is attempting to leave the parking lot at zootopia,"A. Positive
B. Negative",None applicable,A,100,"The sentence doesn't provide any information that could explicitly be classified as a positive or negative sentiment The sentence narrates a neutral action, which is: attempting to leave the parking lot at Zootopia

Answer and Confidence (0-100): None applicable, 100%"
@EmilyAllTimeLow not good at all  We'll get in early tomorrow so we'll have to do a bit of searching. We're determined though!,"A. Positive
B. Negative",A,B,60,"The sentence starts with ""@EmilyAllTimeLow not good at all"", which might give an initial impression of negativity However, the later part of the sentence says ""We'll get in early tomorrow so we'll have to do a bit of searching We're determined though!"" indicates some optimism and determination making the overall sentiment neutral to positive The users appear to be slightly optimistic about the challenge they are going to embark on with determination, which would tend to shift the sentiment more towards positive

Answer and Confidence (0-100): A, 60%"
another day gone by....time is moving so fast...,"A. Positive
B. Negative",B,B,75,"The sentence ""another day gone bytime is moving so fast"" may show a sense of regret, sadness or worry due to the speed at which time is passing There seems to be a lack of positive connotation in this context The phrase ""another day gone by"" could indicate melancholy about the passage of time The sentiment from such a phrase can seem negative, especially without any context indicating joy or positive anticipation

Answer and Confidence (0-100): B, 75%"
just got up  and im already bored....,"A. Positive
B. Negative",B,B,90,"The sentence ""just got up and im already bored"" suggests a dissatisfaction or negative feeling from the speaker 'Bored' often refers to a lack of interest or stimulation which is generally associated with negativity Therefore, we can classify this sentiment as negative

Answer and Confidence (0-100): B, 90%"
@missmaisie hahaha when did we decide rules? naomi got me the crow,"A. Positive
B. Negative",A,A,75,"The sentence is a reply from a person towards another person tagged as @missmaisie It seems to be a personal conversation and there is laughter expressed with ""hahaha"" The context suggests there is a discussion about some rules which suggests a casual friendly banter The speaker also says ""Naomi got me the crow"" which suggests someone named Naomi got them something called 'the crow', likely to be a gift or possession of interest, usually a positive sentiment

Answer and Confidence (0-100): A, 75%"
@PaulaCoMayo wouldn't surprise me if they wait til after the game to get going lol,"A. Positive
B. Negative",A,A,60,"The sentence is from a Twitter user directed at @PaulaCoMayo The user is expressing their opinion on a matter, possibly a sports game The use of ""lol"" (laugh out loud) at the end of the sentence suggests a light-hearted or casual tone The phrase ""wouldn't surprise me if they wait til after the game to get going"" could be interpreted as the user predicting the behavior of a third party The phrase itself doesn't necessarily carry a positive or negative sentiment, as it depends on the context which is not provided However, based on the casual and non-aggressive tone, and considering that the user is sharing a prediction rather than expressing dissatisfaction or disappointment, I'd tend to infer a neutral or slightly positive sentiment 

Answer and Confidence (0-100): A, 60%"
"Apple Genius bar on regent st: +1 on offering to replace top cover of cracked macbook for free, -1 for needing 5-7 days to do it  #ebay","A. Positive
B. Negative",A,B,50,"This sentence contains two main parts, each expressing a different sentiment about the service provided by the ""Apple Genius bar on Regent st"" The first part ""+1 for offering to replace the top cover of the cracked macbook for free"" indicates a positive sentiment - the user appreciates the gesture of the service center offering to replace the cover for free The second part ""-1 for needing 5-7 days to do it"" reflects a negative sentiment - the user is not happy about the time needed to complete the service So, the sentence overall has mixed sentiments with both positive and negative connotations 

Answer and Confidence (0-100): A, 50%
Answer and Confidence (0-100): B, 50%"
I am so so sad...I keep updating this even though i have no followers,"A. Positive
B. Negative",B,B,95,"The speaker expresses a negative emotion which is sadness and expresses dissatisfaction with the fact that they keep updating something even though they have no followers The sentiment is not positive as there are no expressions of joy, satisfaction, or positivity in general 

Answer and Confidence (0-100): B, 95%"
had to bust out the wrist brace today... thinking I need to take a small break from the computer.. just as soon as this painting is done,"A. Positive
B. Negative",B,B,90,"This sentence contains negative sentiments The user had to use a wrist brace, implying that they may be experiencing discomfort or pain They also mention they ""need to take a small break from the computer"", which suggests the user is experiencing difficulties or is stressed up because of extended computer use However, it's worth mentioning that despite these discomforts, they intend to continue working on a project (""just as soon as this painting is done""), which may either show determination or necessity, yet it doesn't change the overall sentiment 

Answer and Confidence (0-100): B, 90%"
"going back home, need some sleep  gonna go shopping tomorow for puerto rico trip!","A. Positive
B. Negative",A,A,85,"The sentence expresses the speaker's determination to get some rest at home and their plans to go shopping for a trip to Puerto Rico the following day While there is a sense of exhaustion, the overall context suggests an anticipation or preparation for a future event, which can be perceived positively Exhaustion is a human condition, not essentially negative, and in this case is paired with the clear positive energy around the trip and shopping 

Answer and Confidence (0-100): A, 85%"
my graduation is tomorrow,"A. Positive
B. Negative",A,A,95,"The sentence ""My graduation is tomorrow"" doesn't contain any negative words or phrases A graduation is usually considered a happy and important life event The word 'tomorrow' suggests anticipation and the proximity of the event doesn't convey any negative sentiments Therefore, this sentence can be interpreted as having positive sentiment

Answer and Confidence (0-100): A, 95%"
"hey! had to stick a whole day in a hot classroom, attempting to revise","A. Positive
B. Negative",B,B,95,"The sentence contains negative sentiment, expressed through words like ""had to stick,"" ""whole day,"" ""hot classroom,"" ""attempting to revise"" All these words and phrases suggest discomfort, force, and difficulty Focusing on each phrase: ""had to stick"" implies an obligation, ""whole day"" indicates a long duration, ""hot classroom"" points to unpleasant physical conditions, and ""attempting to revise"" suggests exerted effort and potential struggle Hence, the overall sentiment comes across as negative, with the speaker expressing dissatisfaction

Answer and Confidence (0-100): B, 95%"
@Birdsingr  http://bit.ly/anQjU ACE prize winning FAN MADE vid for best single NOT  released in 2008. Please keep retweeting.,"A. Positive
B. Negative",A,B,65,"In this sentence, the user is referencing a fan-made video for what they describe as a 'prize winning' and 'best single' from 2008, suggesting they hold this content in high regard The tone appears to be excited and positive overall since they are urging others to keep retweeting However, the phrase ""NOT released in 2008"" could bring some confusion as it might imply that the author expected the single to be released that year but it wasn't This can be interpreted in two ways It can be viewed as a misplaced expectation, denoting a negative sentiment, or it could simply refer to the fact that the song was indeed not released in 2008 but still won an ACE prize, which could be interpreted as an impressive feat, indicating a positive sentiment This analysis leans more towards a positive sentiment given the overall context of the message

Answer and Confidence (0-100): A, 65%"
Taking backup of my files. HDD gone,"A. Positive
B. Negative",B,B,85,"In the sentence ""Taking backup of my files HDD gone,"" the user is performing the action of making a backup for their files, which can be viewed as a neutral or slightly positive event as they are preserving their data However, the statement ""HDD gone"" implies a negative event, as their Hard Disk Drive (HDD) has presumably failed or is no longer accessible While the user is taking a cautionary action (backing up files), the situation as a whole is negative because of the failure of the HDD, which is typically a major loss in the context of data storage

Answer and Confidence (0-100): B, 85%"
waitin @ docs 2 get apendix checkd out.... Fkn hope its not the case,"A. Positive
B. Negative",B,B,90,"The sentence given is ""waitin @ docs 2 get apendix checkd out Fkn hope its not the case"" The person is waiting at the doctor's office to get their appendix checked, and they are clearly hoping that there is nothing wrong with their appendix The sentiment expressed is one of worry and fear, as they are dreading a positive result for an appendix problem This can be construed as a negative sentiment, since hoping for not having a medical condition is induced by a fear or worry which is a negative emotion

Answer and Confidence (0-100): B, 90%"
"@j_chapman99 after that, i'll have two months before i have to start planning the 2010 JJ","A. Positive
B. Negative",B,A,60,"This sentence is someone telling a user named @j_chapman99 about their future plans They mention that they have two months of freedom before they need to start planning a 2010 event, potentially for the user they tagged It doesn't express any strong emotion, positive or negative It's simply a statement of fact about their impending schedule

Answer and Confidence (0-100): B, 60%"
just killed my 2nd gen ipod touch  install of OS3 was interrupted = entire restore me #fail,"A. Positive
B. Negative",B,B,90,"The sentence ""just killed my 2nd gen ipod touch install of OS3 was interrupted = entire restore me #fail"" expresses frustration about interrupted installation of an OS3 update on a 2nd gen iPod touch, ending up with a complete restore action and labeled as a 'fail' The speaker is definitely conveying a sentiment of frustration and negativity, due to the unsuccessful install and subsequent inconvenience

Answer and Confidence (0-100): B, 90%"
going to get coldstone  dark choco mint + graham cracker pie crust is THE mix!,"A. Positive
B. Negative",A,A,90,"The sentence is expressing excitement (indicated by the word 'THE' in all cap) about a combination of food items (""dark choco mint + graham cracker pie crust"") The two food items mentioned, ""dark choco mint"" and ""graham cracker pie crust"", can be perceived as positive when they come together as ""THE mix"" The enthusiasm expressed in the sentence indicates a passion or favorable disposition towards the food at 'Coldstone' This is typically interpreted as a positive sentiment

Answer and Confidence (0-100): A, 90%"
Eating  meat,"A. Positive
B. Negative",A,A,50,"The sentence, ""Eating meat"" is a neutral statement It merely expresses an action (eating) and a object of that action (meat), without any inherent positive or negative sentiment It does not express or imply any happiness, sadness, anger, frustration, satisfaction, displeasure, or any other discernible sentiment However, given no neutral option is provided, and there is no contextual information, the analysis is done purely based on the sentence provided Therefore, it cannot be classified as either positive or negative with certainty

Answer and Confidence (0-100): A, 50%"
@tashaamay But Ted is lonely without Wolverine  And I can't put any boys in with him cause he will fight with them,"A. Positive
B. Negative",B,B,95,"The sentence begins with the mention of a user-tag (@tashaamay), indicating communication Then it goes on to describe a scenario where ""Ted"" is lonely without ""Wolverine,"" providing a negative sentiment as loneliness is generally associated with negative emotions It continues to state that the speaker can't put any boys with ""Ted"" because there would be a fight, further reinforcing the negative sentiment by implying confrontation and conflict No part of this sentence carries a positive sentiment 

Answer and Confidence (0-100): B, 95%"
